,Unnamed: 0.1,Unnamed: 0,listing_type,unit_description,detailed_url,latitude,longitude,unit_address,unit_address_street,unit_city,unit_zipcode,beds,baths,area,price,unit_number
420,420.0,420.0,nested,Apartment for rent,https://www.zillow.com/homedetails/2785-Broadway-APT-4B-New-York-NY-10025/2111553187_zpid/,40.802593,-73.96817,"2785 Broadway APT 4B, New York, NY 10025",2785 Broadway APT 4B,New York,10025,,,,,
421,421.0,421.0,nested,Apartment for rent,https://www.zillow.com/homedetails/249-E-77th-St-APT-2RW-New-York-NY-10075/2116264985_zpid/,40.77243,-73.956406,"249 E 77th St APT 2RW, New York, NY 10075",249 E 77th St APT 2RW,New York,10075,,,,,
422,422.0,422.0,nested,Apartment for rent,https://www.zillow.com/homedetails/936-W-End-Ave-APT-B8-New-York-NY-10025/2120488298_zpid/,40.80134,-73.96856,"936 W End Ave APT B8, New York, NY 10025",936 W End Ave APT B8,New York,10025,,,,,
423,423.0,423.0,nested,Apartment for rent,https://www.zillow.com/homedetails/238-E-82nd-St-APT-3A-New-York-NY-10028/2111204171_zpid/,40.775383,-73.954445,"238 E 82nd St APT 3A, New York, NY 10028",238 E 82nd St APT 3A,New York,10028,,,,,
424,424.0,424.0,nested,Apartment for rent,https://www.zillow.com/homedetails/102-Saint-Marks-Pl-APT-5-New-York-NY-10009/2127233963_zpid/,40.727093,-73.98468,"102 Saint Marks Pl APT 5, New York, NY 10009",102 Saint Marks Pl APT 5,New York,10009,,,,,
425,425.0,425.0,nested,For Rent,/b/206-east-70th-street-new-york-ny-2DZc/,40.76799,-73.9611,"206 E 70th St, New York, NY",206 E  70th St   Apt 3A,New York,10021,,,,,
426,426.0,426.0,regular,Apartment for rent,https://www.zillow.com/homedetails/160-E-102nd-St-2C-New-York-NY-10029/344582680_zpid/,40.78928,-73.94777,"160 E 102nd St #2C, New York, NY 10029",160 E 102nd St #2C,New York,10029,1.0,1.0,803.0,2575.0,
427,427.0,427.0,nested,Apartment for rent,https://www.zillow.com/homedetails/361-W-46th-St-5-New-York-NY-10036/2105703815_zpid/,40.760895,-73.989975,"361 W 46th St #5, New York, NY 10036",361 W 46th St #5,New York,10036,,,,,
428,428.0,428.0,nested,Apartment for rent,https://www.zillow.com/homedetails/448-W-54th-St-APT-2C-New-York-NY-10019/2120712410_zpid/,40.76665,-73.98927,"448 W 54th St APT 2C, New York, NY 10019",448 W 54th St APT 2C,New York,10019,,,,,
429,429.0,429.0,nested,Apartment for rent,https://www.zillow.com/homedetails/258-Wadsworth-Ave-APT-4B-New-York-NY-10033/2053055931_zpid/,40.8531,-73.93305,"258 Wadsworth Ave APT 4B, New York, NY 10033",258 Wadsworth Ave APT 4B,New York,10033,,,,,
430,430.0,430.0,regular,Apartment for rent,https://www.zillow.com/homedetails/515-W-168th-St-APT-5J-New-York-NY-10032/2098041235_zpid/,40.840446,-73.93763,"515 W 168th St APT 5J, New York, NY 10032",515 W 168th St APT 5J,New York,10032,1.0,1.0,503.0,2595.0,
431,431.0,431.0,nested,For Rent,/b/310-e-55th-st-new-york-ny-2CkL/,40.7575,-73.96563,"310 E 55th St, New York, NY",310 E  55th St # 4GD,New York,10022,,,,,
432,432.0,432.0,nested,Apartment for rent,https://www.zillow.com/homedetails/222-W-140th-St-5D-New-York-NY-10030/344415869_zpid/,40.81905,-73.94336,"222 W 140th St #5D, New York, NY 10030",222 W 140th St #5D,New York,10030,,,,,
433,433.0,433.0,nested,Apartment for rent,https://www.zillow.com/homedetails/413-W-148th-St-45-New-York-NY-10031/344686020_zpid/,40.82649,-73.944046,"413 W 148th St #45, New York, NY 10031",413 W 148th St #45,New York,10031,,,,,
434,434.0,434.0,regular,Apartment for rent,https://www.zillow.com/homedetails/505-W-148th-St-55-New-York-NY-10031/344718490_zpid/,40.827614,-73.94671,"505 W 148th St #55, New York, NY 10031",505 W 148th St #55,New York,10031,2.0,1.0,950.0,2595.0,
435,435.0,435.0,nested,Apartment for rent,https://www.zillow.com/homedetails/310-E-6th-St-APT-13-New-York-NY-10003/2111603171_zpid/,40.726936,-73.98801,"310 E 6th St APT 13, New York, NY 10003",310 E 6th St APT 13,New York,10003,,,,,
436,436.0,436.0,nested,Apartment for rent,https://www.zillow.com/homedetails/163-E-92nd-St-APT-11-New-York-NY-10128/2124498431_zpid/,40.783115,-73.95176,"163 E 92nd St APT 11, New York, NY 10128",163 E 92nd St APT 11,New York,10128,,,,,
437,437.0,437.0,nested,Apartment for rent,https://www.zillow.com/homedetails/232-E-74th-St-APT-4C-New-York-NY-10021/2125119544_zpid/,40.77034,-73.95853,"232 E 74th St APT 4C, New York, NY 10021",232 E 74th St APT 4C,New York,10021,,,,,
438,438.0,438.0,nested,Apartment for rent,https://www.zillow.com/homedetails/173-Ludlow-St-APT-3B-New-York-NY-10002/2125731445_zpid/,40.721844,-73.98772,"173 Ludlow St APT 3B, New York, NY 10002",173 Ludlow St APT 3B,New York,10002,,,,,
439,439.0,439.0,nested,For Rent,/b/328-e-14th-st-new-york-ny-3Mhy/,40.7316,-73.98392,"328 E 14th St, New York, NY",328 E  14th St   Apt 28,New York,10003,,,,,
440,440.0,440.0,nested,Apartment for rent,https://www.zillow.com/homedetails/538-W-47th-St-APT-3A-New-York-NY-10036/2132538217_zpid/,40.763298,-73.99491,"538 W 47th St APT 3A, New York, NY 10036",538 W 47th St APT 3A,New York,10036,,,,,
441,441.0,441.0,nested,Apartment for rent,https://www.zillow.com/homedetails/2276-Adam-C-Powell-Blvd-4B-New-York-NY-10030/2076872153_zpid/,40.81642,-73.9434,"2276 Adam C Powell Blvd #4B, New York, NY 10030",2276 Adam C Powell Blvd #4B,New York,10030,,,,,
442,442.0,442.0,regular,Apartment for rent,https://www.zillow.com/homedetails/608-E-9th-St-APT-9-New-York-NY-10009/2094056668_zpid/,40.725853,-73.97989,"608 E 9th St APT 9, New York, NY 10009",608 E 9th St APT 9,New York,10009,1.0,1.0,495.0,2599.0,
443,443.0,443.0,nested,Apartment for rent,https://www.zillow.com/homedetails/1876-3rd-Ave-3-New-York-NY-10029/2085729862_zpid/,40.790104,-73.94611,"1876 3rd Ave #3, New York, NY 10029",1876 3rd Ave #3,New York,10029,,,,,
444,444.0,444.0,nested,For Rent,/b/304-w-92nd-st-new-york-ny-9hJHLq/,40.792862,-73.97572,"304 W 92nd St, New York, NY",304 W  92nd St # 7I,New York,10025,,,,,
445,445.0,445.0,nested,For Rent,/b/223-e-32nd-st-new-york-ny-28bf/,40.744164,-73.97783,"223 E 32nd St, New York, NY",223 E  32nd St # BW,New York,10016,,,,,
446,446.0,446.0,regular,Apartment for rent,https://www.zillow.com/homedetails/2310-2nd-Ave-APT-2B-New-York-NY-10035/2082176240_zpid/,40.79854,-73.93625,"2310 2nd Ave APT 2B, New York, NY 10035",2310 2nd Ave APT 2B,New York,10035,1.0,1.0,450.0,2600.0,
447,447.0,447.0,nested,For Rent,/b/215-e-117th-st-new-york-ny-2GpH/,40.798447,-73.938515,"215 E 117th St, New York, NY",215 E  117th St   Apt 12,New York,10035,,,,,
448,448.0,448.0,nested,Apartment for rent,https://www.zillow.com/homedetails/223-E-14th-St-APT-4-New-York-NY-10003/2106258856_zpid/,40.733135,-73.98607,"223 E 14th St APT 4, New York, NY 10003",223 E 14th St APT 4,New York,10003,,,,,
449,449.0,449.0,nested,Apartment for rent,https://www.zillow.com/homedetails/412-W-56th-St-APT-7-New-York-NY-10019/2115529798_zpid/,40.767414,-73.98717,"412 W 56th St APT 7, New York, NY 10019",412 W 56th St APT 7,New York,10019,,,,,
450,450.0,450.0,nested,Apartment for rent,https://www.zillow.com/homedetails/528-E-13th-St-APT-3C-New-York-NY-10009/2127595792_zpid/,40.728973,-73.97966,"528 E 13th St APT 3C, New York, NY 10009",528 E 13th St APT 3C,New York,10009,,,,,
451,451.0,451.0,nested,For Rent,/b/102-w-80th-st-new-york-ny-4cN4/,40.782627,-73.97558,"102 W 80th St, New York, NY",102 W  80th St Apt 54,New York,10024,,,,,
452,452.0,452.0,nested,Apartment for rent,https://www.zillow.com/homedetails/207-E-21st-St-APT-2C-New-York-NY-10010/244715203_zpid/,40.737476,-73.98333,"207 E 21st St APT 2C, New York, NY 10010",207 E 21st St APT 2C,New York,10010,,,,,
453,453.0,453.0,regular,Apartment for rent,https://www.zillow.com/homedetails/441-Convent-Ave-3L-New-York-NY-10031/321916791_zpid/,40.827183,-73.94375,"441 Convent Ave #3L, New York, NY 10031",441 Convent Ave #3L,New York,10031,0.0,1.0,400.0,2600.0,
